domain,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
hcup-us.ahrq.gov,31995,69323,17521,2.1666822941084543,263.35786841694016,31233
internal.usgs.gov,31995,47231,6094,1.4761994061572121,197.61959681200187,31233
irma.nps.gov,31995,104365,12950,3.2619159243631817,443.64406938584153,30472
mrdata.usgs.gov,31995,180544,26663,5.642881700265667,268.8102516018128,31995
nicic.gov,31995,64752,19045,2.0238162212845756,206.21484606969838,31995
search.uscourts.gov,31995,46469,27424,1.4523831848726363,252.76258790436006,17521
selectusa.gov,31995,44184,26663,1.3809657759024847,67.42875449288951,31233
vacanteen.va.gov,31995,75417,25139,2.357149554617909,186.57193311454915,31995
competition.usmint.gov,31233,57896,22854,1.8536804021387634,64.56158550251337,30472
giss.nasa.gov,31233,47993,28186,1.5366119168827843,90.46428457080651,28948
ng.usembassy.gov,31233,87606,23615,2.8049178753241764,369.4669420164569,28948
ntp.niehs.nih.gov,31233,195779,11427,6.268337975858867,551.785771459674,31233
pubag.nal.usda.gov,31233,41137,24377,1.3171005026734544,78.04953094483399,31233
boston.va.gov,30472,60943,22092,1.9999671829876609,140.02274218955105,30472
consumidor.gov,30472,39613,28186,1.2999803097925964,42.399317406143346,30472
diplomacy.state.gov,30472,68561,29710,2.249967182987661,197.69683644001051,25901
geneed.nlm.nih.gov,30472,42660,28948,1.3999737463901287,112.04820819112628,29710
search.bea.gov,30472,57896,16759,1.8999737463901287,216.04653452349697,15236
search.doh.wa.gov,30472,50278,21330,1.6499737463901287,76.94877264373851,30472
hampton.va.gov,29710,40375,18283,1.358970043756311,157.30622685964323,30472
intra.mp.usbr.gov,29710,46469,1524,1.5640861662739818,357.48384382362843,28948
jru.usconsulate.gov,29710,73893,22092,2.487142376304275,259.3309323460114,28948
search.tpwd.texas.gov,29710,45707,27424,1.5384382362840794,121.56297542914844,29710
archive.defense.gov,28948,46469,33519,1.605257703468288,70.02615033853807,31995
bphc.hrsa.gov,28948,271958,25139,9.39470775183087,385.3149440375846,54849
cumulis.epa.gov,28948,190447,34280,6.578934641426005,311.736147574962,34280
digitalgov.gov,28948,47993,20568,1.6579038275528535,198.0521970429736,28186
eac.gov,28948,47231,26663,1.6315807655105707,85.39453502832666,28186
richmond.va.gov,28948,34280,18283,1.1841923448942933,63.605119524664914,28186
stcloud.va.gov,28948,41137,8380,1.4210653585739947,75.34192344894294,28948
blog.dol.gov,28186,48754,34280,1.7297239764422054,118.64925849712623,26663
espanol.foodsafety.gov,28186,34280,28948,1.2162066274036756,25.216348541829277,30472
